Month,Region,Business_Unit,Revenue_Actual,Revenue_Budget,Revenue_Forecast,COGS_Actual,COGS_Budget,COGS_Forecast,Opex_Actual,Opex_Budget,Opex_Forecast,Gross_Profit_Actual,Gross_Profit_Budget,Gross_Profit_Forecast,EBITDA_Actual,EBITDA_Budget,EBITDA_Forecast,Headcount_Actual,Headcount_Budget,Revenue_Variance,Revenue_Variance_Pct,Opex_Variance,EBITDA_Variance
2025-02-01,North America,SMB,1015157.44,1111357,1052196.38,412402.53,464312.59,479801.29,310112.18,288826.73,328483.87,602754.91,647044.41,572395.09,292642.73,358217.67,243911.22,261,249,-96199.56000000006,-8.656044817281941,21285.45000000001,-65574.94
2025-02-01,North America,Digital,1034141.84,1142296,1055050.95,437773.75,451539.13,476703.27,247061.96,265509.0,250043.21,596368.09,690756.87,578347.68,349306.13,425247.86,328304.47,198,208,-108154.16000000003,-9.468137855687145,-18447.040000000008,-75941.72999999998
2025-02-01,EMEA,Enterprise,1016182.52,1154589,1025107.22,409696.81,463376.62,438116.74,307870.4,286895.74,309177.96,606485.7,691212.38,586990.48,298615.31,404316.65,277812.52,247,231,-138406.47999999998,-11.987510707273323,20974.660000000033,-105701.34000000003
2025-02-01,EMEA,SMB,764519.31,761087,800705.6,357598.22,308585.82,366219.77,175546.84,171380.22,176789.55,406921.09,452501.18,434485.83,231374.25,281120.95,257696.29,207,192,3432.310000000056,0.45097472430879204,4166.619999999995,-49746.70000000001
2025-02-01,EMEA,Digital,1509419.91,1470746,1547600.23,622321.33,564183.33,701958.36,308375.87,329382.67,315792.54,887098.59,906562.67,845641.86,578722.72,577180.0,529849.33,241,239,38673.909999999916,2.6295437825430032,-21006.79999999999,1542.719999999972
2025-02-01,APAC,Enterprise,1477720.37,1419094,1557189.44,662398.95,562861.82,647393.44,395357.64,373548.94,406514.52,815321.41,856232.18,909796.0,419963.78,482683.24,503281.48,234,223,58626.37000000011,4.131253461715723,21808.70000000001,-62719.45999999996
2025-02-01,APAC,SMB,1211894.55,1310490,1180973.39,538329.8,552191.35,461950.91,314927.57,329207.28,326915.46,673564.75,758298.65,719022.48,358637.18,429091.37,392107.02,140,131,-98595.44999999995,-7.523556074445432,-14279.710000000021,-70454.19
2025-02-01,APAC,Digital,1145097.42,1177095,1228735.68,477832.33,458627.37,488966.94,385346.94,344264.22,386585.73,667265.09,718467.63,739768.73,281918.15,374203.41,353183.0,234,223,-31997.580000000075,-2.718351534922846,41082.72000000003,-92285.25999999995
2025-03-01,North America,Enterprise,810736.08,807512,809675.0,378803.1,363168.64,347415.79,220480.35,232776.34,221604.45,431932.99,444343.36,462259.21,211452.64,211567.02,240654.76,234,226,3224.079999999958,0.3992609397755028,-12295.98999999999,-114.37999999997555
2025-03-01,North America,SMB,1401379.64,1290978,1421693.89,641935.96,570798.06,647573.67,383762.14,359581.35,396143.0,759443.67,720179.94,774120.21,375681.53,360598.59,377977.22,178,191,110401.6399999999,8.551783221712524,24180.790000000037,15082.940000000002
2025-03-01,North America,Digital,1600778.15,1437378,1602749.2,686492.27,576928.27,675381.99,406305.35,430416.73,398840.21,914285.88,860449.73,927367.21,507980.54,430033.0,528527.0,214,221,163400.1499999999,11.367931747946603,-24111.380000000005,77947.53999999998
2025-03-01,EMEA,Enterprise,1315783.34,1359347,1384018.23,545582.8,585152.39,592329.1,361184.31,341034.89,362102.28,770200.54,774194.61,791689.13,409016.23,433159.72,429586.85,254,237,-43563.659999999916,-3.204749044945839,20149.419999999984,-24143.48999999999
2025-03-01,EMEA,SMB,831852.69,834508,889808.59,347719.64,342488.43,387206.65,248569.14,222723.85,248747.29,484133.05,492019.57,502601.94,235563.9,269295.72,253854.66,122,127,-2655.310000000056,-0.31818868123493793,25845.290000000008,-33731.81999999998
2025-03-01,EMEA,Digital,1412778.16,1327234,1377171.09,604097.67,596749.01,564046.89,415975.74,382707.13,443337.16,808680.49,730484.99,813124.2,392704.75,347777.86,369787.04,170,172,85544.15999999992,6.445296006582104,33268.609999999986,44926.890000000014
2025-03-01,APAC,Enterprise,1158204.36,1138452,1248354.91,480024.47,438616.23,503541.14,263760.96,258254.97,267332.76,678179.89,699835.77,744813.76,414418.93,441580.8,477481.0,137,133,19752.360000000102,1.735019131241379,5505.99000000002,-27161.869999999995
2025-03-01,APAC,SMB,1034395.34,1145101,1073341.14,415006.36,514498.2,457547.16,357558.09,329488.28,372837.06,619388.97,630602.8,615793.98,261830.88,301114.53,242956.92,126,122,-110705.66000000003,-9.667763804240852,28069.809999999998,-39283.65000000002
2025-03-01,APAC,Digital,1014764.6,1067654,1074665.88,466148.14,466252.98,487819.69,274929.23,268124.48,289183.36,548616.46,601401.02,586846.19,273687.24,333276.55,297662.83,134,144,-52889.40000000002,-4.953795892676843,6804.75,-59589.31
2025-04-01,North America,Enterprise,1004105.83,937549,1072285.2,421771.28,378450.71,425245.51,219725.81,241726.4,224538.64,582334.55,559098.29,647039.69,362608.75,317371.89,422501.05,152,142,66556.82999999996,7.099024157670689,-22000.589999999997,45236.859999999986
2025-04-01,North America,SMB,1006290.08,984821,979477.51,458675.11,376806.67,406692.13,215879.19,209477.39,226521.9,547614.97,608014.33,572785.38,331735.78,398536.94,346263.47,190,187,21469.079999999958,2.179998192564939,6401.799999999988,-66801.15999999997
2025-04-01,North America,Digital,1419180.07,1311523,1406949.3,632898.93,536143.75,562336.13,319541.39,279714.47,333701.41,786281.14,775379.25,844613.17,466739.75,495664.79,510911.76,236,226,107657.07000000007,8.208553719606906,39826.92000000004,-28925.03999999998
2025-04-01,EMEA,Enterprise,1028222.69,1044894,1081530.58,416169.74,415408.31,427919.59,272033.62,253733.12,268017.7,612052.96,629485.69,653610.99,340019.34,375752.57,385593.29,189,201,-16671.310000000056,-1.5955025103024858,18300.5,-35733.22999999998
2025-04-01,EMEA,SMB,887611.15,877247,930753.98,366046.14,373894.79,425206.18,249449.42,240181.19,258193.84,521565.0,503352.21,505547.8,272115.58,263171.02,247353.96,156,155,10364.150000000023,1.1814403469034402,9268.23000000001,8944.559999999998
2025-04-01,EMEA,Digital,767384.1,844356,773221.41,305060.16,326281.06,318411.75,237446.34,251576.76,233064.15,462323.93,518074.94,454809.66,224877.6,266498.18,221745.51,163,164,-76971.90000000002,-9.116048207154332,-14130.420000000013,-41620.57999999999
2025-04-01,APAC,Enterprise,1146167.37,1155968,1193704.79,534035.67,443156.66,539635.29,236216.83,261352.07,251336.9,612131.71,712811.34,654069.5,375914.88,451459.27,402732.6,184,175,-9800.629999999888,-0.8478288326320355,-25135.24000000002,-75544.39000000001
2025-04-01,APAC,SMB,740867.12,709540,768830.13,344903.37,316506.22,346514.76,205814.11,187063.38,214241.2,395963.74,393033.78,422315.37,190149.63,205970.4,208074.17,247,242,31327.119999999995,4.415130929898243,18750.72999999998,-15820.76999999999
2025-04-01,APAC,Digital,756581.06,704000,802180.46,344724.17,298366.31,349432.96,150455.53,155350.58,150352.17,411856.89,405633.69,452747.49,261401.37,250283.11,302395.33,115,125,52581.060000000056,7.468900568181826,-4895.049999999988,11118.26000000001
2025-05-01,North America,Enterprise,1133466.09,1085777,1108338.0,518662.78,436838.81,434057.34,296562.56,305588.51,293785.2,614803.31,648938.19,674280.66,318240.76,343349.68,380495.46,196,193,47689.090000000084,4.3921624790357585,-9025.950000000012,-25108.919999999984
2025-05-01,North America,SMB,739525.79,831484,751339.02,320834.21,372280.86,315294.14,222961.33,213568.35,233183.73,418691.59,459203.14,436044.89,195730.25,245634.79,202861.16,112,115,-91958.20999999996,-11.059528505659756,9392.979999999981,-49904.54000000001
2025-05-01,North America,Digital,913913.43,896582,973667.68,373870.79,375964.33,426066.4,235720.75,245655.29,239019.8,540042.65,520617.67,547601.28,304321.89,274962.38,308581.48,192,192,17331.43000000005,1.9330557606554728,-9934.540000000008,29359.51000000001
2025-05-01,EMEA,Enterprise,854770.5,878031,857112.46,337017.91,339797.07,391784.31,247169.7,249987.99,263510.61,517752.59,538233.93,465328.15,270582.89,288245.94,201817.54,206,207,-23260.5,-2.6491661456144486,-2818.289999999979,-17663.04999999999
2025-05-01,EMEA,SMB,1190654.97,1154137,1213669.15,495661.52,462260.44,530466.01,348759.15,317661.73,366568.75,694993.45,691876.56,683203.14,346234.3,374214.83,316634.38,200,188,36517.96999999997,3.1640931709147155,31097.420000000042,-27980.530000000028
2025-05-01,EMEA,Digital,1113671.81,1245977,1147581.09,513420.9,511980.84,475745.87,246833.16,263781.68,258813.44,600250.92,733996.16,671835.22,353417.76,470214.48,413021.78,209,224,-132305.18999999994,-10.618590070282192,-16948.51999999999,-116796.71999999997
2025-05-01,APAC,Enterprise,1204086.17,1225830,1197443.72,555507.27,499851.32,479291.62,295245.83,308091.06,304787.43,648578.91,725978.68,718152.1,353333.08,417887.62,413364.67,184,188,-21743.830000000075,-1.7738046874362738,-12845.229999999981,-64554.53999999998
2025-05-01,APAC,SMB,878785.34,938067,940165.25,367347.61,395331.65,413270.96,231515.88,232796.99,241577.01,511437.72,542735.35,526894.29,279921.84,309938.36,285317.28,164,169,-59281.66000000003,-6.31955499980279,-1281.109999999986,-30016.51999999996
2025-05-01,APAC,Digital,1237578.63,1239773,1201996.89,488230.05,511786.04,478776.1,278881.18,262525.19,292028.77,749348.59,727986.96,723220.79,470467.41,465461.78,431192.02,183,171,-2194.3700000001118,-0.176997724583461,16355.98999999999,5005.629999999946
2025-06-01,North America,Enterprise,1186354.75,1192734,1161581.34,504090.28,497353.27,518236.78,369036.97,355184.34,372373.72,682264.47,695380.73,643344.56,313227.5,340196.39,270970.84,159,159,-6379.25,-0.5348426388448724,13852.629999999946,-26968.890000000014
2025-06-01,North America,SMB,982510.11,892714,980377.0,389108.16,382687.55,393753.8,192677.8,197897.65,206092.96,593401.95,510026.45,586623.21,400724.15,312128.8,380530.25,134,133,89796.10999999999,10.05877694311952,-5219.850000000006,88595.35000000003
2025-06-01,North America,Digital,898536.59,850159,962043.34,354588.7,380113.88,401765.2,176226.82,179107.76,175393.47,543947.89,470045.12,560278.14,367721.08,290937.35,384884.67,241,243,48377.58999999997,5.690416733810966,-2880.9400000000023,76783.73000000004
2025-06-01,EMEA,Enterprise,978823.72,1046809,978092.7,402096.86,424192.29,412487.96,206349.74,212744.66,209859.47,576726.86,622616.71,565604.74,370377.11,409872.04,355745.27,222,236,-67985.28000000003,-6.4945257444290245,-6394.920000000013,-39494.92999999999
2025-06-01,EMEA,SMB,886063.27,822402,952055.48,389046.65,354291.08,399174.98,269290.45,241188.18,265000.57,497016.62,468110.92,552880.5,227726.17,226922.74,287879.93,195,198,63661.27000000002,7.740894355801667,28102.27000000002,803.4300000000221
2025-06-01,EMEA,Digital,818593.06,761813,882934.78,358159.39,297510.21,367885.69,251259.51,226251.94,265191.74,460433.66,464302.79,515049.09,209174.16,238050.85,249857.35,163,177,56780.060000000056,7.453280529473775,25007.570000000007,-28876.690000000002
2025-06-01,APAC,Enterprise,918049.16,970846,896200.79,417741.82,427687.34,412234.65,302232.12,290927.29,317104.62,500307.34,543158.66,483966.14,198075.22,252231.37,166861.52,254,244,-52796.83999999997,-5.438230162147238,11304.830000000016,-54156.149999999994
2025-06-01,APAC,SMB,1323272.03,1408690,1349155.04,617073.62,548038.39,583418.12,335271.57,313946.68,347217.81,706198.42,860651.61,765736.93,370926.85,546704.93,418519.12,164,171,-85417.96999999997,-6.063645656602941,21324.890000000014,-175778.08000000007
2025-06-01,APAC,Digital,1214041.35,1208153,1280759.03,556242.81,503088.74,548976.2,346269.7,309400.49,351918.56,657798.54,705064.26,731782.83,311528.84,395663.77,379864.27,190,191,5888.350000000093,0.4873844620673121,36869.21000000002,-84134.93
2025-07-01,North America,Enterprise,1315442.8,1239542,1365737.51,535434.07,532117.51,545674.96,246626.56,249711.27,254788.07,780008.74,707424.49,820062.55,533382.17,457713.22,565274.47,109,109,75900.80000000005,6.123293926305042,-3084.709999999992,75668.95000000007
2025-07-01,North America,SMB,1624349.2,1480722,1637844.46,735330.28,615949.65,684222.62,433137.27,388258.15,461489.07,889018.92,864772.35,953621.84,455881.66,476514.21,492132.77,209,211,143627.19999999995,9.699808606882316,44879.119999999995,-20632.550000000047
2025-07-01,North America,Digital,914729.97,916464,913272.7,428461.9,377711.02,387668.98,225874.9,213421.7,226239.26,486268.07,538752.98,525603.72,260393.16,325331.28,299364.46,195,194,-1734.030000000028,-0.18920874142356142,12453.199999999983,-64938.120000000024
2025-07-01,EMEA,Enterprise,1256420.81,1379574,1239722.09,554420.79,537644.69,499275.27,363792.61,323602.16,372034.89,702000.03,841929.31,740446.82,338207.41,518327.16,368411.93,185,172,-123153.18999999994,-8.926899898084477,40190.45000000001,-180119.75
2025-07-01,EMEA,SMB,1160483.68,1253020,1130886.18,478452.6,490965.13,455058.12,243439.91,261718.6,248666.58,682031.08,762054.87,675828.06,438591.17,500336.26,427161.47,179,169,-92536.32000000007,-7.385063287098376,-18278.690000000002,-61745.090000000026
2025-07-01,EMEA,Digital,1071486.05,1070608,1120713.8,486404.13,409777.19,486337.15,249261.97,222874.79,264935.19,585081.93,660830.81,634376.65,335819.95,437956.02,369441.46,128,140,878.0500000000466,0.08201414523336707,26387.179999999993,-102136.07
2025-07-01,APAC,Enterprise,1383274.49,1288579,1455631.59,562644.06,506303.91,605445.28,337619.0,320150.41,342076.33,820630.43,782275.09,850186.31,483011.43,462124.67,508109.98,217,209,94695.48999999999,7.348830766293722,17468.590000000026,20886.76000000001
2025-07-01,APAC,SMB,885032.16,966765,871440.6,404951.11,413873.63,385589.05,219227.39,196298.94,221830.32,480081.04,552891.37,485851.54,260853.65,356592.43,264021.22,186,194,-81732.83999999997,-8.454261376859936,22928.45000000001,-95738.78
2025-07-01,APAC,Digital,1098402.4,1131734,1067875.41,446957.33,455574.48,440952.26,269320.15,239900.69,278321.72,651445.06,676159.52,626923.16,382124.92,436258.84,348601.44,143,147,-33331.60000000009,-2.9451796977028253,29419.46000000002,-54133.92000000004
2025-08-01,North America,Enterprise,1305951.56,1306440,1279259.52,570631.99,545566.02,565663.95,296046.04,317681.73,297686.08,735319.56,760873.98,713595.57,439273.53,443192.25,415909.48,90,85,-488.4399999999441,-0.037387097761852374,-21635.690000000002,-3918.719999999972
2025-08-01,North America,SMB,1294354.69,1272735,1306224.75,567525.33,571529.37,531118.66,250973.59,267501.21,251509.72,726829.36,701205.63,775106.09,475855.77,433704.41,523596.37,87,83,21619.689999999944,1.698679615159475,-16527.620000000024,42151.360000000044
2025-08-01,North America,Digital,1595338.05,1486237,1557244.38,628771.92,652401.54,609313.87,460682.23,400832.39,488643.31,966566.13,833835.46,947930.51,505883.9,433003.07,459287.21,163,154,109101.05000000005,7.3407572278176385,59849.83999999997,72880.83000000002
2025-08-01,EMEA,Enterprise,1629249.69,1462501,1668322.95,742398.44,629756.92,734549.26,377851.03,370749.38,398811.35,886851.25,832744.08,933773.69,509000.21,461994.71,534962.34,201,212,166748.68999999994,11.401612033085785,7101.650000000023,47005.5
2025-08-01,EMEA,SMB,750645.25,764323,770039.77,299647.78,303412.29,333229.63,182851.08,174925.3,181734.35,450997.46,460910.71,436810.14,268146.38,285985.41,255075.79,173,179,-13677.75,-1.7895248474794032,7925.779999999999,-17839.02999999997
2025-08-01,EMEA,Digital,1134868.34,1271650,1142842.46,448352.43,495191.99,524904.36,325583.37,295322.13,326533.32,686515.91,776458.01,617938.1,360932.53,481135.88,291404.78,165,180,-136781.65999999992,-10.756234813038173,30261.23999999999,-120203.34999999998
2025-08-01,APAC,Enterprise,1462561.89,1472042,1516195.79,582883.48,641221.88,681607.22,405079.8,404218.98,430990.49,879678.41,830820.12,834588.58,474598.61,426601.14,403598.08,205,216,-9480.110000000102,-0.6440108366473309,860.820000000007,47997.46999999997
2025-08-01,APAC,SMB,928072.07,1035842,975889.38,424450.33,435274.4,390145.02,275186.05,289545.53,273735.55,503621.74,600567.6,585744.36,228435.69,311022.08,312008.8,256,244,-107769.93000000005,-10.404089619845502,-14359.48000000004,-82586.39000000001
2025-08-01,APAC,Digital,1423568.04,1379290,1523026.02,622191.1,554659.07,666794.11,364724.72,338194.82,386962.01,801376.94,824630.93,856231.91,436652.22,486436.11,469269.9,197,204,44278.04000000004,3.210205250527448,26529.899999999965,-49783.890000000014
2025-09-01,North America,Enterprise,904636.26,918134,934962.82,381140.05,371729.84,399444.19,181633.0,189743.33,186874.29,523496.2,546404.16,535518.63,341863.2,356660.83,348644.35,207,213,-13497.73999999999,-1.4701274541624632,-8110.329999999987,-14797.630000000005
2025-09-01,North America,SMB,1003849.79,1045266,989113.2,441298.21,455298.81,422689.89,331875.32,302488.75,329768.16,562551.58,589967.19,566423.31,230676.25,287478.44,236655.15,181,176,-41416.20999999996,-3.96226510763767,29386.570000000007,-56802.19
2025-09-01,North America,Digital,775019.5,732154,754627.63,349531.23,307425.81,340618.98,189535.38,171476.45,187631.85,425488.27,424728.19,414008.64,235952.89,253251.74,226376.79,176,188,42865.5,5.854710894156147,18058.929999999993,-17298.849999999977
2025-09-01,EMEA,Enterprise,1003325.73,1002775,1032808.12,424122.25,415194.0,458599.59,211789.07,201778.69,218332.45,579203.47,587581.0,574208.54,367414.4,385802.31,355876.08,100,105,550.7299999999814,0.05492059534790769,10010.380000000005,-18387.909999999974
2025-09-01,EMEA,SMB,1196597.49,1295603,1280275.03,505045.65,545238.23,540711.88,358305.17,381850.91,370043.49,691551.85,750364.77,739563.15,333246.68,368513.86,369519.67,196,190,-99005.51000000001,-7.641654889653698,-23545.73999999999,-35267.17999999999
2025-09-01,EMEA,Digital,1417085.89,1395275,1483166.86,632840.93,620304.32,594271.93,378039.68,359463.07,384909.33,784244.96,774970.68,888894.92,406205.28,415507.6,503985.6,101,108,21810.889999999898,1.5631965024815824,18576.609999999986,-9302.319999999949
2025-09-01,APAC,Enterprise,1280814.8,1162120,1305908.95,600429.71,450817.33,585991.21,279061.74,246911.3,295328.43,680385.1,711302.67,719917.74,401323.36,464391.37,424589.31,128,134,118694.80000000005,10.213644029876438,32150.440000000002,-63068.01000000001
2025-09-01,APAC,SMB,1000541.13,1030388,1052436.66,453268.34,406375.33,454926.8,218641.53,217851.57,231260.78,547272.79,624012.67,597509.85,328631.27,406161.11,366249.07,114,117,-29846.869999999995,-2.896663198717376,789.9599999999919,-77529.83999999997
2025-09-01,APAC,Digital,822361.38,826161,880773.73,322881.89,347892.08,399776.56,193988.03,185739.7,192997.95,499479.5,478268.92,480997.17,305491.47,292529.22,287999.22,161,167,-3799.6199999999953,-0.45991277729159274,8248.329999999987,12962.25
2025-10-01,North America,Enterprise,751872.6,794270,747519.78,324217.91,313647.42,342579.26,202990.95,195310.12,214654.18,427654.69,480622.58,404940.51,224663.74,285312.46,190286.34,153,142,-42397.40000000002,-5.337907764362247,7680.830000000016,-60648.72000000003
2025-10-01,North America,SMB,871379.54,851878,851667.55,354470.61,368434.88,385689.4,178021.11,187850.99,175046.29,516908.92,483443.12,465978.15,338887.81,295592.13,290931.86,114,109,19501.540000000037,2.289240947647438,-9829.880000000005,43295.67999999999
2025-10-01,North America,Digital,824267.91,920178,869856.56,356043.53,378865.09,366082.08,229729.59,220912.94,228344.69,468224.38,541312.91,503774.47,238494.79,320399.98,275429.78,202,208,-95910.08999999997,-10.422993160019036,8816.649999999994,-81905.18999999997
2025-10-01,EMEA,Enterprise,1078821.99,974486,1090758.1,476321.44,388773.26,456603.77,185338.96,197371.06,193574.96,602500.54,585712.74,634154.33,417161.58,388341.67,440579.37,169,172,104335.98999999999,10.70677156983271,-12032.100000000006,28819.910000000033
2025-10-01,EMEA,SMB,853996.67,907606,846799.56,373712.29,377006.42,350362.46,261623.7,233204.24,269499.86,480284.38,530599.58,496437.1,218660.68,297395.35,226937.24,81,87,-53609.32999999996,-5.90667426173912,28419.46000000002,-78734.66999999998
2025-10-01,EMEA,Digital,821112.32,734911,850961.16,383469.26,320773.59,388130.77,157601.92,157350.46,159045.41,437643.06,414137.41,462830.39,280041.14,256786.95,303784.98,87,86,86201.31999999995,11.729491054018778,251.46000000002095,23254.190000000002
2025-10-01,APAC,Enterprise,909598.72,978176,884965.46,397170.21,384130.19,371242.76,312483.56,282954.2,315846.99,512428.51,594045.81,513722.7,199944.96,311091.61,197875.71,204,209,-68577.28000000003,-7.010730175346771,29529.359999999986,-111146.65
2025-10-01,APAC,SMB,857446.99,907990,890592.78,372272.42,371058.12,374519.96,236900.73,208335.2,248443.6,485174.57,536931.88,516072.82,248273.84,328596.69,267629.21,96,103,-50543.01000000001,-5.566472097710328,28565.53,-80322.85
2025-10-01,APAC,Digital,1138057.65,1141501,1215901.64,482555.88,497682.87,476114.07,268139.49,258969.75,278064.15,655501.77,643818.13,739787.57,387362.28,384848.38,461723.42,173,182,-3443.350000000093,-0.3016510717029677,9169.73999999999,2513.9000000000233
2025-11-01,North America,Enterprise,916982.85,848757,988768.16,370217.47,353760.49,404467.0,193338.75,171312.32,191520.9,546765.38,494996.51,584301.16,353426.63,323684.19,392780.26,178,179,68225.84999999998,8.038325457109629,22026.429999999993,29742.440000000002
2025-11-01,North America,SMB,868881.81,857729,905076.16,353212.36,375755.57,353676.35,206198.59,183286.88,218292.16,515669.45,481973.43,551399.81,309470.86,298686.55,333107.65,237,247,11152.810000000056,1.3002719973324974,22911.709999999992,10784.309999999998
2025-11-01,North America,Digital,912672.57,877900,902898.61,386518.33,389795.36,376345.93,201618.67,221135.79,200603.62,526154.24,488104.64,526552.69,324535.57,266968.86,325949.06,176,186,34772.56999999995,3.9608805103086855,-19517.119999999995,57566.71000000002
2025-11-01,EMEA,Enterprise,739025.7,721172,736800.05,305288.19,293697.8,305696.2,191046.63,196089.98,196964.57,433737.51,427474.2,431103.85,242690.88,231384.23,234139.29,174,177,17853.699999999953,2.475650746285207,-5043.350000000006,11306.649999999994
2025-11-01,EMEA,SMB,882288.36,966997,902768.96,382196.22,385729.09,362318.17,305440.5,274775.07,325590.8,500092.14,581267.91,540450.79,194651.64,306492.84,214859.99,232,233,-84708.64000000001,-8.759969265675076,30665.429999999993,-111841.20000000001
2025-11-01,EMEA,Digital,1189635.18,1324712,1249236.81,529473.54,549337.39,525226.52,328763.06,297583.57,345841.46,660161.64,775374.61,724010.29,331398.58,477791.04,378168.83,183,181,-135076.82000000007,-10.196693319000664,31179.48999999999,-146392.45999999996
2025-11-01,APAC,Enterprise,1218994.64,1275762,1290692.65,552449.69,570708.19,565761.2,296464.52,321657.96,316100.96,666544.95,705053.81,724931.44,370080.43,383395.85,408830.49,168,162,-56767.3600000001,-4.449682621053151,-25193.440000000002,-13315.419999999984
2025-11-01,APAC,SMB,1494704.9,1407220,1568919.04,700188.75,597514.35,711089.75,399741.82,372443.98,393603.23,794516.15,809705.65,857829.29,394774.34,437261.67,464226.06,97,105,87484.8999999999,6.216860192436144,27297.840000000026,-42487.32999999996
2025-11-01,APAC,Digital,753266.67,737641,813474.44,322290.27,309002.58,335069.99,169362.99,156418.44,168911.45,430976.4,428638.42,478404.45,261613.41,272219.98,309492.99,162,151,15625.670000000042,2.118329919296791,12944.549999999988,-10606.569999999978
2025-12-01,North America,Enterprise,1553093.8,1450294,1633788.05,662257.05,556683.43,696925.65,407524.12,383537.01,412749.7,890836.75,893610.57,936862.39,483312.63,510073.55,524112.69,175,187,102799.80000000005,7.08820418480667,23987.109999999986,-26760.919999999984
2025-12-01,North America,SMB,994102.21,910017,1022264.3,419867.85,373900.73,439645.15,263995.53,255166.67,274436.28,574234.36,536116.27,582619.15,310238.83,280949.59,308182.86,224,220,84085.20999999996,9.239960352389017,8828.860000000015,29289.23999999999
2025-12-01,North America,Digital,980984.38,954444,976693.11,450868.18,364318.96,382364.47,283218.43,274374.18,301490.58,530116.2,590125.04,594328.64,246897.77,315750.86,292838.06,218,202,26540.380000000005,2.7807163123242438,8844.25,-68853.09
2025-12-01,EMEA,Enterprise,1107466.96,1240659,1085029.43,474419.47,474715.55,467271.19,281718.22,281838.89,278408.86,633047.49,765943.45,617758.25,351329.27,484104.56,339349.39,182,182,-133192.04000000004,-10.735588102774415,-120.67000000004191,-132775.28999999998
2025-12-01,EMEA,SMB,1034816.39,1104032,1016347.14,427357.56,446938.15,417456.02,224532.72,246597.44,220403.26,607458.83,657093.85,598891.12,382926.11,410496.4,378487.86,142,152,-69215.60999999999,-6.269348171067504,-22064.72,-27570.290000000037
2025-12-01,EMEA,Digital,858216.89,822744,853074.4,388692.95,367352.96,338038.21,222729.77,198905.01,237212.96,469523.94,455391.04,515036.19,246794.17,256486.03,277823.22,95,90,35472.890000000014,4.311534329025799,23824.75999999998,-9691.859999999986
